Date;count
2020-11-15;1260
2020-11-16;2676
2020-11-17;2403
2020-11-18;2352
2020-11-19;2727
2020-11-20;2649
2020-11-21;1788
2020-11-22;1193
2020-11-23;2806
2020-11-24;2407
2020-11-25;2289
2020-11-26;2359
2020-11-27;2135
2020-11-28;1506
2020-11-29;1090
2020-11-30;2599
2020-12-01;2733
2020-12-02;2414
2020-12-03;2453
2020-12-04;2375
2020-12-05;1792
2020-12-06;1343
2020-12-07;2662
2020-12-08;2334
2020-12-09;2457
2020-12-10;3139
2020-12-11;2326
2020-12-12;1712
2020-12-13;1271
2020-12-14;2373
2020-12-15;2246
2020-12-16;2289
2020-12-17;2108
2020-12-18;2257
2020-12-19;1837
2020-12-20;1383
2020-12-21;2536
2020-12-22;2183
2020-12-23;1908
2020-12-24;1216
2020-12-25;837
2020-12-26;821
2020-12-27;1058
2020-12-28;3008
2020-12-29;2568
2020-12-30;2409
2020-12-31;1664
