"rate","time"
"43796.9","2023-12-11 00:08:14.959+00"
"43806.86","2023-12-11 00:08:45.377+00"
"43809.29","2023-12-11 00:09:16.532+00"
"43807.47","2023-12-11 00:09:46.542+00"
"43782.67","2023-12-11 00:10:17.402+00"
"43761.35","2023-12-11 00:10:47.446+00"
"43761","2023-12-11 00:11:19.048+00"
"43779.6","2023-12-11 00:11:49.114+00"
"43753.76","2023-12-11 00:12:19.132+00"
"43753.76","2023-12-11 00:12:49.493+00"
"43750.37","2023-12-11 00:13:20.244+00"
"43747.92","2023-12-11 00:13:51.313+00"
"43731.25","2023-12-11 00:14:21.481+00"
"43746.38","2023-12-11 00:14:51.868+00"
"43755.51","2023-12-11 00:15:22.227+00"
"43743.14","2023-12-11 00:15:54.806+00"
"43743","2023-12-11 00:16:24.967+00"
"43761.11","2023-12-11 00:16:55.623+00"
"43738.47","2023-12-11 00:17:25.681+00"
"43737.61","2023-12-11 00:17:56.415+00"
"43741.67","2023-12-11 00:18:26.923+00"
"43754.45","2023-12-11 00:18:56.941+00"
"43749.02","2023-12-11 00:19:27.189+00"
"43752.28","2023-12-11 00:19:59.751+00"
"43744.39","2023-12-11 00:20:31.193+00"
"43764.03","2023-12-11 00:21:01.21+00"
"43763.79","2023-12-11 00:21:31.406+00"
"43760","2023-12-11 00:22:02.558+00"
"43763.11","2023-12-11 00:22:32.776+00"
"43762.86","2023-12-11 00:23:04.449+00"
"43759.2","2023-12-11 00:23:35.082+00"
"43738.64","2023-12-11 00:24:06.287+00"
"43749.5","2023-12-11 00:24:37.012+00"
"43740.46","2023-12-11 00:25:07.16+00"
"43745.58","2023-12-11 00:25:37.409+00"
"43744.6","2023-12-11 00:26:08.419+00"
"43747.08","2023-12-11 00:26:39.241+00"
"43752.05","2023-12-11 00:27:10.485+00"
"43736.81","2023-12-11 00:27:40.772+00"
"43755.1","2023-12-11 00:28:10.989+00"
"43755.5","2023-12-11 00:28:42.789+00"
"43734.68","2023-12-11 00:29:15.453+00"
"43733.51","2023-12-11 00:29:47.431+00"
"43732.7","2023-12-11 00:30:17.919+00"
"43740.03","2023-12-11 00:30:47.934+00"
"43746","2023-12-11 00:31:18.037+00"
"43756","2023-12-11 00:31:49.573+00"
"43756.56","2023-12-11 00:32:20.945+00"
"43756.6","2023-12-11 00:32:51.088+00"
"43752.33","2023-12-11 00:33:21.998+00"
"43751.76","2023-12-11 00:33:52.044+00"
"43761.33","2023-12-11 00:34:22.449+00"
"43761.34","2023-12-11 00:34:53.3+00"
"43759.29","2023-12-11 00:35:23.965+00"
"43742.49","2023-12-11 00:35:54.746+00"
"43763.85","2023-12-11 00:36:25.217+00"
"43742.81","2023-12-11 00:36:56.147+00"
"43741.08","2023-12-11 00:37:28.285+00"
"43723.9","2023-12-11 00:37:59.227+00"
"43731","2023-12-11 00:38:30.757+00"
"43728.93","2023-12-11 00:39:02.848+00"
"43745.42","2023-12-11 00:39:33.169+00"
"43748.64","2023-12-11 00:40:04.884+00"
"43736","2023-12-11 00:40:35.01+00"
"43746.49","2023-12-11 00:41:05.299+00"
"43733.96","2023-12-11 00:41:35.318+00"
"43738.03","2023-12-11 00:42:05.382+00"
"43726.41","2023-12-11 00:42:36.111+00"
"43701.8","2023-12-11 00:43:06.457+00"
"43710.08","2023-12-11 00:43:38.053+00"
"43694.53","2023-12-11 00:44:08.673+00"
"43697.37","2023-12-11 00:44:38.804+00"
"43676.5","2023-12-11 00:45:08.941+00"
"43686.14","2023-12-11 00:45:39.056+00"
"43684.55","2023-12-11 00:46:09.11+00"
"43682.91","2023-12-11 00:46:39.166+00"
"43715","2023-12-11 00:47:09.255+00"
"43713.37","2023-12-11 00:47:39.33+00"
"43707.1","2023-12-11 00:48:09.609+00"
"43715","2023-12-11 00:48:40.027+00"
"43715","2023-12-11 00:49:10.029+00"
"43715","2023-12-11 00:49:40.046+00"
"43712.84","2023-12-11 00:50:10.598+00"
"43710.9","2023-12-11 00:50:40.759+00"
"43684.01","2023-12-11 00:51:10.859+00"
"43678","2023-12-11 00:51:42.601+00"
"43678.3","2023-12-11 00:52:12.608+00"
"43679.47","2023-12-11 00:52:43.593+00"
"43677.51","2023-12-11 00:53:14.18+00"
"43675.21","2023-12-11 00:53:44.48+00"
"43677.99","2023-12-11 00:54:16.507+00"
"43677.26","2023-12-11 00:54:46.848+00"
"43656.63","2023-12-11 00:55:17.18+00"
"43653.8","2023-12-11 00:55:47.21+00"
"43650.09","2023-12-11 00:56:17.211+00"
"43653.15","2023-12-11 00:56:47.361+00"
"43652.6","2023-12-11 00:57:18.584+00"
"43658.51","2023-12-11 00:57:48.641+00"
"43659.7","2023-12-11 00:58:18.804+00"
"43616.57","2023-12-11 00:58:49.044+00"
"43622.63","2023-12-11 00:59:20.155+00"
"43634.82","2023-12-11 00:59:50.743+00"
"43620.84","2023-12-11 01:00:21.259+00"
"43605.35","2023-12-11 01:00:51.338+00"
"43605","2023-12-11 01:01:21.446+00"
"43601.95","2023-12-11 01:01:52.666+00"
"43613.11","2023-12-11 01:02:22.684+00"
"43604.9","2023-12-11 01:02:52.837+00"
"43578.87","2023-12-11 01:03:22.907+00"
"43562.38","2023-12-11 01:03:53.006+00"
"43562.9","2023-12-11 01:04:23.296+00"
"43559.79","2023-12-11 01:04:54.06+00"
"43514.08","2023-12-11 01:05:24.44+00"
"43533.3","2023-12-11 01:05:54.576+00"
"43555.54","2023-12-11 01:06:24.651+00"
"43533.37","2023-12-11 01:06:56.306+00"
"43513.01","2023-12-11 01:07:26.871+00"
"43508.67","2023-12-11 01:07:56.902+00"
"43494.66","2023-12-11 01:08:26.971+00"
"43426","2023-12-11 01:08:56.98+00"
"43406.09","2023-12-11 01:09:27.583+00"
"43380.83","2023-12-11 01:09:58.52+00"
"43369.61","2023-12-11 01:10:28.524+00"
"43412.1","2023-12-11 01:10:58.581+00"
"43352.5","2023-12-11 01:11:28.642+00"
"43362.9","2023-12-11 01:11:59.208+00"
"43377.1","2023-12-11 01:12:29.444+00"
"43378","2023-12-11 01:12:59.579+00"
"43436.75","2023-12-11 01:13:29.913+00"
"43445.63","2023-12-11 01:14:00.773+00"
"43388.83","2023-12-11 01:14:30.918+00"
"43398.93","2023-12-11 01:15:01.083+00"
"43366.78","2023-12-11 01:15:32.32+00"
"43413.11","2023-12-11 01:16:02.769+00"
"43385.17","2023-12-11 01:16:33.244+00"
"43354.95","2023-12-11 01:17:03.339+00"
"43329.32","2023-12-11 01:17:33.461+00"
"43320.8","2023-12-11 01:18:03.572+00"
"43348.45","2023-12-11 01:18:33.572+00"
"43332.04","2023-12-11 01:19:04.213+00"
"43305","2023-12-11 01:19:34.234+00"
"43337.74","2023-12-11 01:20:04.433+00"
"43321.95","2023-12-11 01:20:35.016+00"
"43296.9","2023-12-11 01:21:05.068+00"
"43291.92","2023-12-11 01:21:35.17+00"
"43328.97","2023-12-11 01:22:05.549+00"
